,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2016-08-13,15:00 ,Premier League,Matchweek 1,Sat,Away,D,1,1,Middlesbrough,54,"32,110",Ryan Shawcross,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/a80443d6/Middlesbrough-Stoke-City-August-13-2016-Premier-League,
1,2016-08-20,12:30 ,Premier League,Matchweek 2,Sat,Home,L,1,4,Manchester City,43,"27,455",Ryan Shawcross,4-3-3,Mike Dean,https://fbref.com/en/matches/35ebe0a7/Stoke-City-Manchester-City-August-20-2016-Premier-League,
3,2016-08-27,15:00 ,Premier League,Matchweek 3,Sat,Away,L,0,1,Everton,45,"39,581",Ryan Shawcross,4-3-3,Michael Oliver,https://fbref.com/en/matches/20d83945/Everton-Stoke-City-August-27-2016-Premier-League,
4,2016-09-10,15:00 ,Premier League,Matchweek 4,Sat,Home,L,0,4,Tottenham,40,"27,385",Ryan Shawcross,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/d27f6889/Stoke-City-Tottenham-Hotspur-September-10-2016-Premier-League,
5,2016-09-18,14:15 ,Premier League,Matchweek 5,Sun,Away,L,1,4,Crystal Palace,44,"23,781",Ryan Shawcross,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/41d0fbe4/Crystal-Palace-Stoke-City-September-18-2016-Premier-League,
7,2016-09-24,15:00 ,Premier League,Matchweek 6,Sat,Home,D,1,1,West Brom,56,"27,645",Ryan Shawcross,4-3-3,Martin Atkinson,https://fbref.com/en/matches/aaad3544/Stoke-City-West-Bromwich-Albion-September-24-2016-Premier-League,
8,2016-10-02,12:00 ,Premier League,Matchweek 7,Sun,Away,D,1,1,Manchester Utd,33,"75,251",Ryan Shawcross,4-2-3-1,Robert Madley,https://fbref.com/en/matches/138db2f9/Manchester-United-Stoke-City-October-2-2016-Premier-League,
9,2016-10-15,15:00 ,Premier League,Matchweek 8,Sat,Home,W,2,0,Sunderland,57,"27,701",Ryan Shawcross,4-2-3-1,Mike Jones,https://fbref.com/en/matches/10597ee6/Stoke-City-Sunderland-October-15-2016-Premier-League,
10,2016-10-22,15:00 ,Premier League,Matchweek 9,Sat,Away,W,2,0,Hull City,51,"18,522",Ryan Shawcross,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/9e183bf4/Hull-City-Stoke-City-October-22-2016-Premier-League,
11,2016-10-31,20:00 ,Premier League,Matchweek 10,Mon,Home,W,3,1,Swansea City,46,"26,602",Ryan Shawcross,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/682055de/Stoke-City-Swansea-City-October-31-2016-Premier-League,
12,2016-11-05,15:00 ,Premier League,Matchweek 11,Sat,Away,D,1,1,West Ham,42,"56,970",Ryan Shawcross,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/6814bb7a/West-Ham-United-Stoke-City-November-5-2016-Premier-League,
13,2016-11-19,15:00 ,Premier League,Matchweek 12,Sat,Home,L,0,1,Bournemouth,51,"27,815",Ryan Shawcross,4-2-3-1,Roger East,https://fbref.com/en/matches/a80766f6/Stoke-City-Bournemouth-November-19-2016-Premier-League,
14,2016-11-27,12:00 ,Premier League,Matchweek 13,Sun,Away,W,1,0,Watford,50,"20,058",Jonathan Walters,4-2-3-1,Robert Madley,https://fbref.com/en/matches/47a487e2/Watford-Stoke-City-November-27-2016-Premier-League,
15,2016-12-03,15:00 ,Premier League,Matchweek 14,Sat,Home,W,2,0,Burnley,56,"27,306",Jonathan Walters,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/d1dce91c/Stoke-City-Burnley-December-3-2016-Premier-League,
16,2016-12-10,15:00 ,Premier League,Matchweek 15,Sat,Away,L,1,3,Arsenal,36,"59,964",Charlie Adam,3-4-3,Lee Mason,https://fbref.com/en/matches/fec71c04/Arsenal-Stoke-City-December-10-2016-Premier-League,
17,2016-12-14,20:00 ,Premier League,Matchweek 16,Wed,Home,D,0,0,Southampton,29,"27,002",Ryan Shawcross,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/f44e629b/Stoke-City-Southampton-December-14-2016-Premier-League,
18,2016-12-17,15:00 ,Premier League,Matchweek 17,Sat,Home,D,2,2,Leicester City,65,"27,663",Ryan Shawcross,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/5b8aee09/Stoke-City-Leicester-City-December-17-2016-Premier-League,
19,2016-12-27,17:15 ,Premier League,Matchweek 18,Tue,Away,L,1,4,Liverpool,36,"53,094",Ryan Shawcross,3-5-2,Michael Oliver,https://fbref.com/en/matches/019edcc6/Liverpool-Stoke-City-December-27-2016-Premier-League,
20,2016-12-31,15:00 ,Premier League,Matchweek 19,Sat,Away,L,2,4,Chelsea,40,"41,601",Ryan Shawcross,3-4-3,Robert Madley,https://fbref.com/en/matches/189c4fc2/Chelsea-Stoke-City-December-31-2016-Premier-League,
21,2017-01-03,20:00 ,Premier League,Matchweek 20,Tue,Home,W,2,0,Watford,54,"27,010",Ryan Shawcross,3-4-3,Niel Swarbrick,https://fbref.com/en/matches/c78da03a/Stoke-City-Watford-January-3-2017-Premier-League,
23,2017-01-14,15:00 ,Premier League,Matchweek 21,Sat,Away,W,3,1,Sunderland,49,"42,722",Ryan Shawcross,4-2-3-1,Mike Dean,https://fbref.com/en/matches/61368ecb/Sunderland-Stoke-City-January-14-2017-Premier-League,
24,2017-01-21,15:00 ,Premier League,Matchweek 22,Sat,Home,D,1,1,Manchester Utd,35,"27,423",Ryan Shawcross,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/f87ab5f8/Stoke-City-Manchester-United-January-21-2017-Premier-League,
25,2017-02-01,20:00 ,Premier League,Matchweek 23,Wed,Home,D,1,1,Everton,47,"27,612",Ryan Shawcross,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/2a495ac8/Stoke-City-Everton-February-1-2017-Premier-League,
26,2017-02-04,15:00 ,Premier League,Matchweek 24,Sat,Away,L,0,1,West Brom,62,"23,921",Ryan Shawcross,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/438f6c76/West-Bromwich-Albion-Stoke-City-February-4-2017-Premier-League,
27,2017-02-11,15:00 ,Premier League,Matchweek 25,Sat,Home,W,1,0,Crystal Palace,58,"27,007",Ryan Shawcross,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/c91837f4/Stoke-City-Crystal-Palace-February-11-2017-Premier-League,
28,2017-02-26,13:30 ,Premier League,Matchweek 26,Sun,Away,L,0,4,Tottenham,36,"31,864",Ryan Shawcross,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/f30bab22/Tottenham-Hotspur-Stoke-City-February-26-2017-Premier-League,
29,2017-03-04,15:00 ,Premier League,Matchweek 27,Sat,Home,W,2,0,Middlesbrough,55,"27,644",Ryan Shawcross,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/989477be/Stoke-City-Middlesbrough-March-4-2017-Premier-League,
30,2017-03-08,20:00 ,Premier League,Matchweek 28,Wed,Away,D,0,0,Manchester City,35,"52,625",Ryan Shawcross,4-4-2,Niel Swarbrick,https://fbref.com/en/matches/a1c52fa9/Manchester-City-Stoke-City-March-8-2017-Premier-League,
31,2017-03-18,15:00 ,Premier League,Matchweek 29,Sat,Home,L,1,2,Chelsea,36,"27,724",Ryan Shawcross,4-4-2,Anthony Taylor,https://fbref.com/en/matches/8236f1ea/Stoke-City-Chelsea-March-18-2017-Premier-League,
32,2017-04-01,15:00 ,Premier League,Matchweek 30,Sat,Away,L,0,2,Leicester City,52,"31,958",Ryan Shawcross,4-4-2,Lee Mason,https://fbref.com/en/matches/6a26d075/Leicester-City-Stoke-City-April-1-2017-Premier-League,
33,2017-04-04,19:45 ,Premier League,Matchweek 31,Tue,Away,L,0,1,Burnley,52,"19,881",Ryan Shawcross,3-4-3,Kevin Friend,https://fbref.com/en/matches/5d96a379/Burnley-Stoke-City-April-4-2017-Premier-League,
34,2017-04-08,15:00 ,Premier League,Matchweek 32,Sat,Home,L,1,2,Liverpool,44,"27,568",Ryan Shawcross,4-4-2,Mike Dean,https://fbref.com/en/matches/70662360/Stoke-City-Liverpool-April-8-2017-Premier-League,
35,2017-04-15,15:00 ,Premier League,Matchweek 33,Sat,Home,W,3,1,Hull City,45,"27,505",Ryan Shawcross,3-4-3,Stuart Attwell,https://fbref.com/en/matches/613431fe/Stoke-City-Hull-City-April-15-2017-Premier-League,
36,2017-04-22,15:00 ,Premier League,Matchweek 34,Sat,Away,L,0,2,Swansea City,55,"20,566",Ryan Shawcross,4-4-2,Michael Oliver,https://fbref.com/en/matches/2be68b39/Swansea-City-Stoke-City-April-22-2017-Premier-League,
37,2017-04-29,15:00 ,Premier League,Matchweek 35,Sat,Home,D,0,0,West Ham,57,"27,628",Ryan Shawcross,4-2-3-1,Lee Probert,https://fbref.com/en/matches/97ae959a/Stoke-City-West-Ham-United-April-29-2017-Premier-League,
38,2017-05-06,15:00 ,Premier League,Matchweek 36,Sat,Away,D,2,2,Bournemouth,42,"11,046",Ryan Shawcross,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/c45e2f28/Bournemouth-Stoke-City-May-6-2017-Premier-League,
39,2017-05-13,17:30 ,Premier League,Matchweek 37,Sat,Home,L,1,4,Arsenal,33,"27,535",Ryan Shawcross,4-2-3-1,Mike Dean,https://fbref.com/en/matches/465be7c9/Stoke-City-Arsenal-May-13-2017-Premier-League,
40,2017-05-21,15:00 ,Premier League,Matchweek 38,Sun,Away,W,1,0,Southampton,39,"31,286",Ryan Shawcross,3-4-3,Lee Probert,https://fbref.com/en/matches/8ebc6e14/Southampton-Stoke-City-May-21-2017-Premier-League,
